epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,27.9527,0.46187,0.93548,1,0.19178,0.08218,0.00018,0.00018
2,57.438,0.21732,0.98387,1,0.03305,0.0633517,0.000351685,0.000351685
3,83.7809,0.2205,1,1,0.01162,0.0445046,0.00050456,0.00050456
4,108.417,0.25702,1,1,0.006,0.0256386,0.000638625,0.000638625
5,141.945,0.24979,0.95161,1,0.32276,0.00675388,0.00075388,0.00075388
6,170.361,0.2039,0.93548,1,0.11205,0.0007525,0.0007525,0.0007525
7,196.826,0.15752,0.98387,1,0.06442,0.000703,0.000703,0.000703
8,221.216,0.15817,0.87097,1,0.34702,0.0006535,0.0006535,0.0006535
9,247.652,0.12483,0.98387,1,0.08529,0.000604,0.000604,0.000604
10,272.65,0.13224,0.98387,1,0.05098,0.0005545,0.0005545,0.0005545
11,297.813,0.18034,0.98387,1,0.10638,0.000505,0.000505,0.000505
12,323.266,0.13212,0.96774,1,0.09276,0.0004555,0.0004555,0.0004555
13,348.738,0.1093,0.96774,1,0.12348,0.000406,0.000406,0.000406
