epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,19.4536,0.61447,0.85484,1,0.39184,0.091045,4.5e-05,4.5e-05
2,39.2638,0.25871,0.8871,1,0.18115,0.0810941,9.40595e-05,9.40595e-05
3,59.082,0.2253,0.96774,1,0.12185,0.0711421,0.000142129,0.000142129
4,78.9746,0.1659,0.93548,1,0.17595,0.0611892,0.000189208,0.000189208
5,98.7828,0.17973,0.96774,1,0.08238,0.0512353,0.000235298,0.000235298
6,117.855,0.104,0.96774,1,0.04843,0.0412804,0.000280398,0.000280398
7,133.701,0.09847,0.98387,1,0.03251,0.0313245,0.000324507,0.000324507
8,149.855,0.09621,0.98387,1,0.09679,0.0213676,0.000367627,0.000367627
9,163.959,0.05097,0.98387,1,0.10464,0.0114098,0.000409756,0.000409756
10,178.091,0.13027,0.98387,1,0.09983,0.0014509,0.000450895,0.000450895
11,192.019,0.13076,0.98387,1,0.08702,0.0004505,0.0004505,0.0004505
12,206.681,0.04857,0.98387,1,0.0863,0.00044555,0.00044555,0.00044555
13,223.587,0.06402,0.98387,1,0.03793,0.0004406,0.0004406,0.0004406
14,237.806,0.1181,0.98387,1,0.05771,0.00043565,0.00043565,0.00043565
15,252.297,0.11636,0.96774,1,0.03657,0.0004307,0.0004307,0.0004307
16,266.667,0.0632,0.98387,1,0.03521,0.00042575,0.00042575,0.00042575
17,281.644,0.1497,0.98387,1,0.02742,0.0004208,0.0004208,0.0004208
