epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,57.4414,1.98572,3.304,1.28207,0.6054,0.53134,0.60505,0.20214,1.81626,2.92429,1.36691,0.000664422,0.000664422,0.000664422
2,111.786,1.94609,2.50522,1.3442,0.47965,0.56748,0.50123,0.24215,1.51218,2.44794,1.16322,0.00128716,0.00128716,0.00128716
3,170.333,1.98203,2.31678,1.32478,0.4534,0.84615,0.53611,0.22352,1.73953,2.14601,1.23333,0.0018659,0.0018659,0.0018659
4,246.265,1.78106,1.97534,1.24367,0.36379,0.73077,0.45427,0.21231,1.5229,2.0142,1.18261,0.001802,0.001802,0.001802
5,316.834,1.73938,1.69537,1.23301,0.72693,0.73077,0.80646,0.41824,1.27394,1.64745,1.055,0.001736,0.001736,0.001736
6,395.002,1.69354,1.577,1.2131,0.73149,0.62906,0.756,0.38476,1.41561,1.33506,1.11654,0.00167,0.00167,0.00167
7,470.973,1.66236,1.44731,1.18822,0.72883,0.72386,0.71324,0.38504,1.36683,1.31073,1.06132,0.001604,0.001604,0.001604
8,547.46,1.47524,1.27749,1.1177,0.68281,0.80769,0.78625,0.38681,1.32391,1.28412,1.01059,0.001538,0.001538,0.001538
9,623.585,1.42525,1.12966,1.08647,0.68979,0.94102,0.8884,0.44645,1.16947,0.99899,0.97754,0.001472,0.001472,0.001472
10,697.64,1.48684,1.16474,1.07934,0.89141,0.80769,0.90232,0.51113,1.16214,0.91429,0.98308,0.001406,0.001406,0.001406
11,773.247,1.32877,1.06382,1.02534,0.8465,0.8485,0.88897,0.43665,1.29814,0.98287,0.96548,0.00134,0.00134,0.00134
12,848.687,1.35859,1.01376,1.04839,0.84818,0.92308,0.92455,0.54227,1.07197,0.89483,0.89387,0.001274,0.001274,0.001274
13,922.867,1.35716,0.98753,1.01854,0.89936,0.80769,0.92458,0.52214,1.09793,0.84012,0.8968,0.001208,0.001208,0.001208
14,1001.37,1.40376,1.00698,1.05853,0.72887,0.82747,0.88035,0.55659,1.08373,0.82128,0.92637,0.001142,0.001142,0.001142
15,1059.3,1.2586,0.91285,0.97957,0.8656,0.88462,0.92116,0.58248,1.04035,0.73262,0.93937,0.001076,0.001076,0.001076
16,1112.47,1.2318,0.88579,1.00528,0.92121,0.8997,0.93682,0.58887,1.02718,0.76173,0.88446,0.00101,0.00101,0.00101
17,1167.17,1.20955,0.85808,0.9703,1,0.91829,0.9661,0.68342,0.88173,0.66994,0.86038,0.000944,0.000944,0.000944
18,1221.55,1.14066,0.80143,0.9366,0.95996,0.92222,0.94848,0.63302,0.93029,0.685,0.86857,0.000878,0.000878,0.000878
19,1277.35,1.15348,0.77063,0.92263,0.94316,0.88462,0.95837,0.68495,0.92012,0.66581,0.8781,0.000812,0.000812,0.000812
20,1332.84,1.11491,0.77899,0.92007,0.91298,0.80707,0.92857,0.65402,0.8978,0.67821,0.8771,0.000746,0.000746,0.000746
21,1386.58,1.04924,0.76037,0.88687,0.9505,0.88462,0.9472,0.67438,0.88173,0.62302,0.85798,0.00068,0.00068,0.00068
22,1440.98,1.08468,0.74682,0.93571,0.87868,0.92308,0.93616,0.67346,0.85025,0.56698,0.84035,0.000614,0.000614,0.000614
23,1496.34,1.02765,0.70663,0.91092,0.84899,0.92308,0.94712,0.69116,0.92683,0.61436,0.87793,0.000548,0.000548,0.000548
24,1551.21,0.9828,0.68539,0.90425,0.81594,0.92308,0.94399,0.70282,0.88793,0.59662,0.8641,0.000482,0.000482,0.000482
25,1606.66,0.97187,0.66328,0.87825,1,0.91844,0.96024,0.71107,0.84091,0.58534,0.8616,0.000416,0.000416,0.000416
26,1663.28,0.94666,0.65953,0.85782,0.9073,0.88462,0.94143,0.69638,0.88756,0.57638,0.85653,0.00035,0.00035,0.00035
27,1718.77,0.90664,0.64371,0.86935,1,0.91619,0.9681,0.73384,0.75964,0.56568,0.83211,0.000284,0.000284,0.000284
28,1773.17,0.93238,0.64243,0.87522,1,0.94185,0.97,0.74957,0.73175,0.54057,0.81767,0.000218,0.000218,0.000218
29,1829.03,0.8443,0.59865,0.86054,0.95808,0.87915,0.95688,0.75317,0.72726,0.53918,0.8304,0.000152,0.000152,0.000152
30,1884.59,0.89565,0.60633,0.84117,0.91623,0.88462,0.94984,0.75868,0.74633,0.53651,0.83471,8.6e-05,8.6e-05,8.6e-05
