epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,135.025,2.07872,4.78052,1.30188,0.39717,0.66667,0.48521,0.18346,1.71212,2.25768,1.17228,0.000664073,0.000664073,0.000664073
2,251.208,2.01312,1.79889,1.32703,0.2793,0.44444,0.30223,0.08498,2.08292,1.88838,1.40859,0.00128682,0.00128682,0.00128682
3,384.075,2.0328,1.61794,1.38686,0.37687,0.48148,0.42671,0.13205,1.87579,2.85041,1.29146,0.00186558,0.00186558,0.00186558
4,498.837,1.90233,1.51444,1.3212,0.40559,0.59259,0.46951,0.15064,1.84012,2.24187,1.34992,0.001802,0.001802,0.001802
5,615.521,1.85587,1.46034,1.29019,0.51202,0.7037,0.63605,0.3037,1.47151,1.35915,1.11833,0.001736,0.001736,0.001736
6,736.291,1.8014,1.41521,1.27369,0.46414,0.85185,0.5629,0.26409,1.47687,1.20765,1.06305,0.00167,0.00167,0.00167
7,854.49,1.78801,1.31198,1.23401,0.59726,0.77778,0.65608,0.27043,1.38205,1.11139,1.09912,0.001604,0.001604,0.001604
8,968.263,1.7026,1.23504,1.1857,0.8571,0.77778,0.84071,0.37245,1.37574,0.88218,0.99171,0.001538,0.001538,0.001538
9,1072.3,1.5429,1.08228,1.09002,0.53729,0.88889,0.58324,0.25701,1.44562,1.2183,1.03967,0.001472,0.001472,0.001472
10,1171.29,1.5336,1.10775,1.09832,0.8048,0.76386,0.79816,0.39738,1.32334,1.02193,1.0319,0.001406,0.001406,0.001406
11,1268.44,1.46421,1.00732,1.05363,0.85423,0.81481,0.86241,0.48115,1.01127,0.82189,0.89776,0.00134,0.00134,0.00134
12,1368.43,1.43965,1.03098,1.06335,0.82596,0.81481,0.83507,0.38586,1.35736,0.83407,0.94232,0.001274,0.001274,0.001274
13,1470.72,1.45533,0.9613,1.05388,0.63845,0.78501,0.72088,0.38207,1.27983,0.99598,0.93293,0.001208,0.001208,0.001208
14,1570.59,1.34445,0.93018,0.9894,0.77185,0.7037,0.8051,0.39133,1.29573,1.2798,1.04884,0.001142,0.001142,0.001142
15,1673.08,1.2842,0.93562,0.9959,0.92284,0.85185,0.94241,0.56387,1.11079,0.78077,0.86553,0.001076,0.001076,0.001076
16,1773.72,1.31618,0.87506,1.01742,0.91616,0.80959,0.86333,0.50252,1.14184,0.84379,0.89563,0.00101,0.00101,0.00101
17,1873.32,1.36247,0.89931,1.02617,0.96246,0.96296,0.97216,0.58902,1.05275,0.69687,0.86124,0.000944,0.000944,0.000944
18,1975.86,1.22078,0.80873,0.94926,0.88334,0.84158,0.89834,0.57682,1.14954,0.71389,0.88644,0.000878,0.000878,0.000878
19,2077.64,1.208,0.78425,0.95099,0.86144,0.81481,0.91592,0.60154,1.01099,0.72808,0.89352,0.000812,0.000812,0.000812
20,2179.56,1.17653,0.75564,0.93084,0.94625,0.96296,0.97207,0.62973,0.89502,0.68648,0.80886,0.000746,0.000746,0.000746
21,2280.88,1.13997,0.71966,0.92344,0.87907,0.85185,0.93863,0.63753,0.85492,0.63749,0.80364,0.00068,0.00068,0.00068
22,2382.81,1.1699,0.73599,0.8973,0.96208,0.9401,0.97985,0.6827,0.86697,0.61235,0.80445,0.000614,0.000614,0.000614
23,2484.67,1.06136,0.65985,0.84306,0.96291,0.96155,0.97023,0.70389,0.8398,0.64062,0.81354,0.000548,0.000548,0.000548
24,2584.86,1.19696,0.69092,0.88941,0.92508,0.96296,0.97772,0.65088,0.95229,0.72333,0.82306,0.000482,0.000482,0.000482
25,2683.47,1.09697,0.67379,0.88554,0.89426,1,0.97784,0.65205,0.96026,0.63882,0.79223,0.000416,0.000416,0.000416
26,2784.43,1.06631,0.7039,0.88857,0.91917,0.96296,0.97964,0.69839,0.8279,0.61804,0.79444,0.00035,0.00035,0.00035
27,2884.75,0.97098,0.62173,0.85475,0.9619,0.93521,0.97725,0.67664,0.87624,0.61546,0.77874,0.000284,0.000284,0.000284
28,2984.63,0.99344,0.64265,0.87049,0.95754,0.83569,0.96542,0.71562,0.83318,0.58078,0.79099,0.000218,0.000218,0.000218
29,3082.01,0.90579,0.58801,0.83919,0.9335,0.88889,0.96695,0.70874,0.78005,0.58416,0.7775,0.000152,0.000152,0.000152
30,3182.62,0.87146,0.54418,0.81769,0.95423,0.96296,0.97555,0.698,0.83048,0.61296,0.78079,8.6e-05,8.6e-05,8.6e-05
