epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,38.9993,0.47875,0.90323,1,0.28712,0.08209,9e-05,9e-05
2,74.2447,0.23033,0.98387,1,0.02788,0.0631758,0.000175843,0.000175843
3,111.106,0.20251,0.98387,1,0.02335,0.0442523,0.00025228,0.00025228
4,147.336,0.21517,1,1,0.01576,0.0253193,0.000319313,0.000319313
5,183.971,0.19173,0.98387,1,0.04897,0.00637694,0.00037694,0.00037694
6,219.942,0.1416,0.98387,1,0.07158,0.00037625,0.00037625,0.00037625
7,255.818,0.09557,0.98387,1,0.04734,0.0003515,0.0003515,0.0003515
8,292.723,0.11647,0.98387,1,0.10321,0.00032675,0.00032675,0.00032675
9,329.53,0.07012,0.98387,1,0.114,0.000302,0.000302,0.000302
10,366.125,0.10044,0.98387,1,0.11947,0.00027725,0.00027725,0.00027725
11,404.297,0.11083,0.98387,1,0.09436,0.0002525,0.0002525,0.0002525
12,441.147,0.09287,0.98387,1,0.04931,0.00022775,0.00022775,0.00022775
13,489.306,0.06073,0.98387,1,0.05783,0.000203,0.000203,0.000203
14,512.972,0.10197,0.98387,1,0.03445,0.00017825,0.00017825,0.00017825
