epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,10.1174,0.6206,0.86207,1,0.36993,0.09604,4e-05,4e-05
2,21.0382,0.43043,0.86207,1,0.41342,0.0910891,8.9109e-05,8.9109e-05
3,35.0272,0.39154,0.86207,1,0.32392,0.0861372,0.000137228,0.000137228
4,47.5356,0.20266,0.96552,1,0.14631,0.0811844,0.000184357,0.000184357
5,57.5392,0.2409,0.96552,1,0.06935,0.0762305,0.000230496,0.000230496
6,68.5216,0.25279,1,1,0.01633,0.0712756,0.000275645,0.000275645
7,79.3376,0.13462,1,1,0.03199,0.0663198,0.000319804,0.000319804
8,90.219,0.13287,1,1,0.00888,0.061363,0.000362973,0.000362973
9,101.83,0.19641,1,1,0.00314,0.0564052,0.000405152,0.000405152
10,112.161,0.11086,1,1,0.00901,0.0514463,0.000446341,0.000446341
11,121.087,0.1796,1,1,0.01727,0.0464865,0.00048654,0.00048654
12,131.372,0.13811,0.96552,1,0.05591,0.0415257,0.000525749,0.000525749
13,141.413,0.10405,1,1,0.00533,0.036564,0.000563968,0.000563968
14,151.554,0.11435,0.96552,1,0.02703,0.0316012,0.000601197,0.000601197
15,162.45,0.17185,1,1,0.00766,0.0266374,0.000637436,0.000637436
16,172.163,0.15598,0.96552,1,0.02831,0.0216727,0.000672685,0.000672685
