epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,10.1494,0.54718,0.86364,1,0.45702,0.09406,6e-05,6e-05
2,20.3791,0.33741,0.93182,1,0.22482,0.0871274,0.000127426,0.000127426
3,30.4379,0.29209,0.95455,1,0.12609,0.0801921,0.00019208,0.00019208
4,40.9334,0.18208,0.95455,1,0.04973,0.073254,0.000253962,0.000253962
5,51.5777,0.12395,0.97727,1,0.08451,0.0663131,0.000313072,0.000313072
6,62.1781,0.13821,0.95455,1,0.27465,0.0593694,0.00036941,0.00036941
7,73.2096,0.24376,0.95455,1,0.18094,0.052423,0.000422976,0.000422976
8,83.9629,0.14659,0.97727,1,0.06614,0.0454738,0.00047377,0.00047377
9,94.7893,0.13242,0.97727,1,0.08307,0.0385218,0.000521792,0.000521792
10,105.384,0.15422,0.93182,1,0.18501,0.031567,0.000567042,0.000567042
11,115.705,0.12689,0.97727,1,0.06385,0.0246095,0.00060952,0.00060952
12,126.608,0.21617,1,1,0.00996,0.0176492,0.000649226,0.000649226
13,139.698,0.11369,0.97727,1,0.1073,0.0106862,0.00068616,0.00068616
14,152.705,0.12957,0.97727,1,0.24927,0.00372032,0.000720322,0.000720322
15,165.373,0.17226,0.97727,1,0.24009,0.0007228,0.0007228,0.0007228
16,184.695,0.20273,0.97727,1,0.2196,0.000703,0.000703,0.000703
17,198.505,0.11919,0.93182,1,0.32168,0.0006832,0.0006832,0.0006832
18,212.4,0.14613,0.95455,1,0.36004,0.0006634,0.0006634,0.0006634
19,225.214,0.10942,0.97727,1,0.2937,0.0006436,0.0006436,0.0006436
20,237.673,0.11494,0.97727,1,0.26058,0.0006238,0.0006238,0.0006238
21,250.461,0.11642,0.97727,1,0.22996,0.000604,0.000604,0.000604
22,262.858,0.22914,0.97727,1,0.19381,0.0005842,0.0005842,0.0005842
