epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,193.227,1.71525,7.81744,1.31657,0.19545,0.26087,0.12905,0.04554,1.64933,6.61864,1.26689,0.000662526,0.000662526,0.000662526
2,432.018,1.78149,6.4997,1.39033,0.30972,0.6087,0.27598,0.08836,1.81905,5.3746,1.53183,0.00128533,0.00128533,0.00128533
3,635.529,1.77969,5.58799,1.41149,0.43729,0.13043,0.26004,0.10572,1.8904,5.09195,1.47839,0.00186413,0.00186413,0.00186413
4,845.884,1.58716,4.83771,1.34625,0.36332,0.34783,0.33415,0.13667,1.77416,3.86739,1.63065,0.001802,0.001802,0.001802
5,1084.42,1.58774,4.12777,1.31453,0.57739,0.56522,0.57429,0.18898,1.77638,3.92417,1.56564,0.001736,0.001736,0.001736
6,1310.36,1.56171,3.48966,1.31719,0.35647,0.56522,0.41245,0.14484,1.66869,3.38102,1.7051,0.00167,0.00167,0.00167
7,1532.31,1.57175,2.99843,1.30224,0.5844,0.73913,0.63723,0.27955,1.58375,2.69707,1.4359,0.001604,0.001604,0.001604
8,1757.01,1.4928,2.57296,1.21353,0.53245,0.64393,0.54094,0.22628,1.7305,2.49829,1.39624,0.001538,0.001538,0.001538
9,1987.35,1.45786,2.36326,1.18547,0.56375,0.61834,0.58245,0.23822,1.62616,2.23294,1.37672,0.001472,0.001472,0.001472
10,2110.28,1.34775,2.12857,1.10267,0.34178,0.78261,0.44471,0.24613,1.46762,2.59969,1.31323,0.001406,0.001406,0.001406
11,2228.3,1.2845,1.94019,1.03706,0.53422,0.74823,0.65738,0.33958,1.36933,2.1535,1.24405,0.00134,0.00134,0.00134
12,2374.5,1.41076,1.72417,1.12098,0.79185,0.66201,0.71967,0.35088,1.47547,1.97207,1.25472,0.001274,0.001274,0.001274
13,2560.39,1.30409,1.64025,1.05648,0.70764,0.73676,0.65501,0.33913,1.56186,1.78675,1.34843,0.001208,0.001208,0.001208
14,2783.28,1.18912,1.55834,0.98605,0.69302,0.78261,0.79775,0.46582,1.34349,1.53045,1.19542,0.001142,0.001142,0.001142
15,2900.31,1.21324,1.40406,1.00652,0.72528,0.82609,0.76804,0.4638,1.34043,1.53689,1.20717,0.001076,0.001076,0.001076
16,3020.02,1.0965,1.32433,0.93723,0.90329,0.69565,0.80885,0.48971,1.36206,1.55105,1.17354,0.00101,0.00101,0.00101
17,3174.75,1.08145,1.2771,0.92402,0.85411,0.76415,0.84977,0.47974,1.32774,1.42822,1.20334,0.000944,0.000944,0.000944
18,3325.32,0.98936,1.15081,0.8744,0.65576,0.78261,0.72522,0.43468,1.40378,1.45274,1.25015,0.000878,0.000878,0.000878
19,3457.09,1.01441,1.12019,0.94316,0.80338,0.78261,0.78025,0.45331,1.30358,1.4988,1.24879,0.000812,0.000812,0.000812
20,3575.61,1.02362,1.05295,0.90247,0.84295,0.78261,0.79431,0.52845,1.19535,1.34372,1.1323,0.000746,0.000746,0.000746
21,3716.14,0.94495,1.08174,0.85249,0.83544,0.73913,0.80572,0.50275,1.18675,1.28985,1.12838,0.00068,0.00068,0.00068
22,3869.34,0.96942,1.02557,0.87905,0.88102,0.78261,0.82492,0.50697,1.2307,1.22038,1.19911,0.000614,0.000614,0.000614
23,4022.23,0.90761,1.01516,0.88651,0.86249,0.82609,0.83674,0.55741,1.16455,1.13531,1.17013,0.000548,0.000548,0.000548
24,4173.3,0.84838,0.91926,0.79327,0.87195,0.91304,0.88933,0.53946,1.22286,1.23981,1.18232,0.000482,0.000482,0.000482
25,4292.44,0.83062,0.85304,0.80051,0.9471,0.78261,0.79451,0.53205,1.19543,1.36844,1.17831,0.000416,0.000416,0.000416
26,12595.1,0.79741,0.84862,0.79298,0.94717,0.77965,0.82273,0.57083,1.15794,1.28504,1.1618,0.00035,0.00035,0.00035
