epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,29.8523,2.26351,4.48624,1.45779,0.00185,0.86957,0.06096,0.00903,2.8889,4.42852,1.56931,0.00032,0.00032,0.00032
2,62.9598,1.88709,3.00522,1.27288,0.00168,0.91304,0.06367,0.01338,1.8045,3.88394,1.35028,0.00063822,0.00063822,0.00063822
3,82.0217,2.05918,2.59552,1.36354,0.00158,0.95652,0.00366,0.00087,2.26865,4.01295,1.51273,0.000934,0.000934,0.000934
4,101.197,2.00521,2.30561,1.40663,0.00128,1,0.3886,0.14068,1.80328,3.35701,1.50095,0.00120734,0.00120734,0.00120734
5,121.062,2.06152,2.28284,1.41883,0.57437,0.30435,0.46117,0.23688,1.92614,2.78326,1.52181,0.00145824,0.00145824,0.00145824
6,141.025,1.81625,1.90676,1.33944,0.53207,0.54429,0.43954,0.1918,1.89317,2.48938,1.44321,0.00167,0.00167,0.00167
7,161.177,1.86431,1.77305,1.35222,0.46821,0.3913,0.3957,0.21971,1.84824,2.28671,1.55614,0.001604,0.001604,0.001604
8,181.081,1.79301,1.71094,1.31757,0.59113,0.69565,0.58496,0.26792,1.88346,2.16107,1.51264,0.001538,0.001538,0.001538
9,201.602,1.7877,1.54739,1.27536,0.6065,0.65217,0.54119,0.33128,1.52256,1.7494,1.35597,0.001472,0.001472,0.001472
10,221.802,1.70927,1.42461,1.285,0.68253,0.69565,0.65216,0.26024,1.86443,1.60644,1.64846,0.001406,0.001406,0.001406
11,242.433,1.61087,1.33743,1.17138,0.49769,0.69565,0.57619,0.31939,1.60241,1.62248,1.31494,0.00134,0.00134,0.00134
12,262.874,1.48778,1.28304,1.10852,0.65299,0.78261,0.72777,0.41054,1.58468,1.79159,1.37586,0.001274,0.001274,0.001274
13,283.98,1.42737,1.17821,1.14079,0.76875,0.78261,0.76623,0.44508,1.53963,1.63372,1.43178,0.001208,0.001208,0.001208
14,304.949,1.40928,1.04901,1.1504,0.70472,0.56522,0.66561,0.36854,1.62309,1.44762,1.40589,0.001142,0.001142,0.001142
15,326.382,1.44442,1.05522,1.10073,0.72431,0.65217,0.63922,0.35986,1.59653,1.43432,1.39095,0.001076,0.001076,0.001076
16,348.103,1.45745,1.00675,1.08787,0.65771,0.75225,0.73481,0.44783,1.47039,1.32884,1.22215,0.00101,0.00101,0.00101
17,370.027,1.2197,0.9519,0.99709,0.77233,0.65217,0.73117,0.49225,1.40293,1.18397,1.28285,0.000944,0.000944,0.000944
18,391.062,1.2352,0.91808,1.06145,0.73236,0.73913,0.73205,0.47177,1.44393,1.23155,1.22085,0.000878,0.000878,0.000878
19,412.386,1.2196,0.8687,1.05995,0.6647,0.73913,0.65464,0.43571,1.45131,1.18345,1.21017,0.000812,0.000812,0.000812
20,433.02,1.16167,0.83919,1.03649,0.77036,0.73913,0.76921,0.50748,1.30083,1.01512,1.19031,0.000746,0.000746,0.000746
21,453.473,1.14533,0.82197,1.03567,0.8152,0.82609,0.81789,0.53163,1.3627,1.08104,1.21654,0.00068,0.00068,0.00068
22,474.438,1.21716,0.80142,1.05159,0.85595,0.77535,0.79829,0.53691,1.36635,1.10102,1.22623,0.000614,0.000614,0.000614
23,496.344,1.18341,0.81495,1.00589,0.80692,0.78261,0.79991,0.54363,1.22542,1.02963,1.16901,0.000548,0.000548,0.000548
24,517.752,1.24125,0.76647,0.99318,0.86512,0.82609,0.83733,0.56456,1.2034,1.041,1.21891,0.000482,0.000482,0.000482
25,538.759,1.08329,0.74119,0.94967,0.93709,0.82609,0.84686,0.59167,1.3117,0.96399,1.25478,0.000416,0.000416,0.000416
26,560.339,0.99442,0.71499,0.96577,0.78316,0.82609,0.82904,0.51977,1.24063,0.93806,1.24768,0.00035,0.00035,0.00035
27,581.449,0.88796,0.65726,0.89665,0.85455,0.82609,0.83582,0.53577,1.22599,0.92581,1.23846,0.000284,0.000284,0.000284
28,602.898,0.96944,0.69811,0.93209,0.82183,0.82609,0.812,0.5564,1.21359,0.87969,1.28076,0.000218,0.000218,0.000218
29,623.946,0.98908,0.67624,0.92485,0.85613,0.82609,0.84025,0.59208,1.17148,0.84595,1.23523,0.000152,0.000152,0.000152
30,646.304,0.96381,0.67035,0.97527,0.8563,0.82609,0.82886,0.57794,1.15117,0.86806,1.22573,8.6e-05,8.6e-05,8.6e-05
